National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,262,347
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,31740,38003
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,20931,30047
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,28635,37216
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,2483,5256
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,9907,14740
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,6857,9358
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology)",OS,13545,18337
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OS,28013,38388
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,15000,22734
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology)",OS,32220,36530
