National Institute of Technology Warangal,"Bio Technology (4 Years, Bachelor of Technology)",OS,20284,31192
National Institute of Technology Warangal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,14550,20446
National Institute of Technology Warangal,"Chemistry (5 Years, Integrated Master of Science)",OS,25395,41976
National Institute of Technology Warangal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,19966,28010
National Institute of Technology Warangal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,889,2413
National Institute of Technology Warangal,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,7121,9265
National Institute of Technology Warangal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,2776,5814
National Institute of Technology Warangal,"Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology)",OS,6033,7047
National Institute of Technology Warangal,"Mathematics (5 Years, Integrated Master of Science)",OS,27481,29818
National Institute of Technology Warangal,"Mathematics and Computing (4 Years, Bachelor of Technology)",OS,3672,4106
National Institute of Technology Warangal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,10246,15749
National Institute of Technology Warangal,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,19399,27512
National Institute of Technology Warangal,"Physics (5 Years, Integrated Master of Science)",OS,24390,29722
